B_rad vs Angle
Distance*360/2/pi/17.5e-3 [meter]
BN3 []
__cartesian__ 0 0 0.000000 -0.556325 360.000000 0.556066
__settings__ 1 0 0 0 11 11 0 0 0 0
256.68 0.541309
257.04 0.542286
257.4 0.543298
257.76 0.544345
258.12 0.544679
258.48 0.545129
258.84 0.545711
259.2 0.546423
259.56 0.547001
259.92 0.5475
260.28 0.548002
260.64 0.548508
261 0.549016
261.36 0.549528
261.72 0.550044
262.08 0.550564
262.44 0.551089
262.8 0.551618
263.16 0.552152
263.52 0.552696
263.88 0.553131
264.24 0.553287
264.6 0.553577
264.96 0.553904
265.32 0.554266
265.68 0.554663
266.04 0.555096
266.4 0.555563
266.76 0.556066
267.12 0.555859
267.48 0.555765
267.84 0.555802
268.2 0.555968
268.56 0.556019
268.92 0.55599
269.28 0.55596
269.64 0.555927
270 0.555894
270.36 0.555859
270.72 0.555824
271.08 0.555788
271.44 0.555753
271.8 0.555718
272.16 0.555684
272.52 0.555658
272.88 0.555582
273.24 0.555162
273.6 0.55489
273.96 0.55466
274.32 0.554472
274.68 0.554327
275.04 0.554225
275.4 0.554165
275.76 0.554148
276.12 0.553619
276.48 0.552932
276.84 0.552246
277.2 0.551562
277.56 0.551099
277.92 0.550717
278.28 0.550356
278.64 0.550014
279 0.549692
279.36 0.54939
279.72 0.549002
280.08 0.548018
280.44 0.547096
280.8 0.546235
281.16 0.545435
281.52 0.544695
281.88 0.544092
282.24 0.543347
282.6 0.54252
282.96 0.541775
283.32 0.541051
283.68 0.540347
284.04 0.539664
284.4 0.539002
284.76 0.538361
285.12 0.53774
285.48 0.53671
285.84 0.535424
286.2 0.534217
286.56 0.53309
286.92 0.531992
287.28 0.530861
287.64 0.52974
288 0.52863
288.36 0.527529
288.72 0.526438
289.08 0.525357
289.44 0.524284
289.8 0.52322
290.16 0.522164
290.52 0.521116
290.88 0.520076
291.24 0.518791
291.6 0.517342
291.96 0.515892
292.32 0.514451
292.68 0.513019
293.04 0.511594
293.4 0.510177
293.76 0.508767
294.12 0.507363
294.48 0.505965
294.84 0.504572
295.2 0.503185
295.56 0.501767
295.92 0.500364
296.28 0.498981
296.64 0.49762
297 0.496095
297.36 0.49436
297.72 0.492645
298.08 0.490919
298.44 0.489157
298.8 0.487395
299.16 0.485633
299.52 0.483872
299.88 0.482194
300.24 0.480485
300.6 0.478629
300.96 0.476842
301.32 0.475073
301.68 0.473324
302.04 0.471592
302.4 0.46988
302.76 0.468185
303.12 0.46651
303.48 0.46452
303.84 0.462294
304.2 0.460083
304.56 0.457886
304.92 0.455832
305.28 0.453847
305.64 0.451854
306 0.449852
306.36 0.447842
306.72 0.445821
307.08 0.443792
307.44 0.441752
307.8 0.43962
308.16 0.437371
308.52 0.435126
308.88 0.432886
309.24 0.430649
309.6 0.428416
309.96 0.426187
310.32 0.423984
310.68 0.422007
311.04 0.419693
311.4 0.417333
311.76 0.414961
312.12 0.412577
312.48 0.410183
312.84 0.407778
313.2 0.405364
313.56 0.403181
313.92 0.400686
314.28 0.39819
314.64 0.395692
315 0.393195
315.36 0.390699
315.72 0.388204
316.08 0.385713
316.44 0.383206
316.8 0.380633
317.16 0.378063
317.52 0.375494
317.88 0.372927
318.24 0.370362
318.6 0.367799
318.96 0.365237
319.32 0.362676
319.68 0.360026
320.04 0.35725
320.4 0.354482
320.76 0.351723
