B_rad vs Angle
Distance*360/2/pi/17.5e-3 [meter]
BN3 []
__cartesian__ 0 0 0.000000 -0.475531 360.000000 0.475519
__settings__ 1 0 0 0 11 11 0 0 0 0
282.24 0.475248
282.6 0.475218
282.96 0.475197
283.32 0.475185
283.68 0.475183
284.04 0.47519
284.4 0.475154
284.76 0.475058
285.12 0.474986
285.48 0.474938
285.84 0.474915
286.2 0.474918
286.56 0.474946
286.92 0.47492
287.28 0.474859
287.64 0.474819
288 0.474799
288.36 0.474799
288.72 0.474818
289.08 0.474804
289.44 0.474732
289.8 0.474679
290.16 0.474645
290.52 0.474631
290.88 0.474638
291.24 0.474562
291.6 0.474485
291.96 0.474431
292.32 0.474398
292.68 0.474386
293.04 0.474393
293.4 0.474329
293.76 0.474229
294.12 0.474144
294.48 0.474075
294.84 0.474022
295.2 0.473986
295.56 0.473923
295.92 0.473852
296.28 0.473789
296.64 0.473734
297 0.473686
297.36 0.473645
297.72 0.473561
298.08 0.473472
298.44 0.473393
298.8 0.473323
299.16 0.473263
299.52 0.473211
299.88 0.473105
300.24 0.472963
300.6 0.47284
300.96 0.472735
301.32 0.472649
301.68 0.47258
302.04 0.472528
302.4 0.472493
302.76 0.4724
303.12 0.472213
303.48 0.472047
303.84 0.471903
304.2 0.471781
304.56 0.471641
304.92 0.471497
305.28 0.47136
305.64 0.471232
306 0.471111
306.36 0.470999
306.72 0.470893
307.08 0.470796
307.44 0.470596
307.8 0.470379
308.16 0.470172
308.52 0.469981
308.88 0.469803
309.24 0.469639
309.6 0.46949
309.96 0.469355
310.32 0.469152
310.68 0.468903
311.04 0.468635
311.4 0.468379
311.76 0.468138
312.12 0.46791
312.48 0.467695
312.84 0.467495
313.2 0.467291
313.56 0.467001
313.92 0.466655
314.28 0.466323
314.64 0.466006
315 0.465705
315.36 0.465418
315.72 0.465146
316.08 0.46489
316.44 0.464567
316.8 0.464149
317.16 0.463742
317.52 0.463347
317.88 0.462964
318.24 0.462593
318.6 0.462234
318.96 0.461887
319.32 0.461497
319.68 0.461034
320.04 0.460517
320.4 0.460012
320.76 0.459518
321.12 0.459035
321.48 0.458563
321.84 0.458103
322.2 0.457656
322.56 0.457108
322.92 0.456498
323.28 0.455826
323.64 0.455164
324 0.454512
324.36 0.45387
324.72 0.453238
325.08 0.452617
325.44 0.451993
325.8 0.451289
326.16 0.450464
326.52 0.449622
326.88 0.448779
327.24 0.447937
327.6 0.447094
327.96 0.446252
328.32 0.44541
328.68 0.444569
329.04 0.443609
329.4 0.442641
329.76 0.441671
330.12 0.440699
330.48 0.439597
330.84 0.438451
331.2 0.437288
331.56 0.436108
331.92 0.434925
332.28 0.433749
332.64 0.432533
333 0.431276
333.36 0.429897
333.72 0.428425
334.08 0.426935
334.44 0.425428
334.8 0.42394
335.16 0.422422
335.52 0.420831
335.88 0.419167
336.24 0.417412
336.6 0.415601
336.96 0.413778
337.32 0.411899
337.68 0.409963
338.04 0.407912
338.4 0.405849
338.76 0.403711
339.12 0.401499
339.48 0.399152
339.84 0.396794
340.2 0.394392
340.56 0.391946
340.92 0.38933
341.28 0.386609
341.64 0.383862
342 0.38109
342.36 0.378236
342.72 0.375057
343.08 0.371875
343.44 0.36872
343.8 0.365495
344.16 0.361842
344.52 0.358118
344.88 0.354331
345.24 0.350683
345.6 0.346522
345.96 0.342346
346.32 0.338103
346.68 0.333796
347.04 0.329424
347.4 0.324941
347.76 0.319732
348.12 0.314324
348.48 0.308866
348.84 0.303359
349.2 0.297806
349.56 0.292206
349.92 0.286046
350.28 0.279565
350.64 0.273144
351 0.266169
351.36 0.258955
351.72 0.251869
352.08 0.244438
352.44 0.236059
352.8 0.227549
353.16 0.218912
353.52 0.210149
353.88 0.201387
354.24 0.192208
354.6 0.181972
354.96 0.171553
355.32 0.160968
355.68 0.150214
356.04 0.139287
356.4 0.128216
356.76 0.116069
357.12 0.103788
357.48 0.0913688
357.84 0.0788077
358.2 0.0661011
358.56 0.05323
358.92 0.0401508
359.28 0.0267211
359.64 0.013019
360 0.000316212
BN3 []
__settings__ -1 8 2 0 1 1
